object_id,mean_ozone,matched_fips,dist_to_tract_m
89,65.2635,06007002402,3883
90,55.234,06021010400,1571
91,61.795,06007002700,479
92,61.776,06007002900,469
93,65.3815,06007002800,1210
94,61.948,06007002800,1644
95,62.333,06007003001,954
96,65.361,06007002900,2654
97,62.671,06007003002,3432
98,43.795,06045010500,302
99,43.795,06045010500,649
100,46.544,06045010700,10367
101,45.8375,06045010700,1141
102,45.8375,06045010700,2963
103,63.013,06115041100,8362
104,66.66499999999999,06115041102,2171
105,64.6765,06007003400,3575
106,69.6365,06057001205,1867
107,64.6765,06007003400,3422
108,64.6765,06007003400,3529
109,45.4585,06045010601,3424
110,59.898,06057001206,1298
111,51.010999999999996,06045010802,4928
112,67.064,06057000802,5246
113,51.010999999999996,06045010802,7622
114,48.544,06045010801,5338
115,66.6215,06057000701,2751
116,67.064,06057000802,837
117,70.95100000000001,06061020107,795
118,48.4595,06045011501,8745
119,68.64750000000001,06057000504,1085
120,67.84299999999999,06057000404,362
121,68.656,06057000502,1631
122,48.4595,06045011501,5043
123,67.954,06057000600,2358
124,49.059,06045011502,3002
125,59.9,06061022200,2027
126,49.059,06045011502,2996
127,65.374,06115040201,422
128,48.4595,06045011501,543
129,68.786,06057000104,226
130,69.516,06057000104,1042
131,49.327,06045011600,628
132,49.049499999999995,06045011600,791
133,60.724,06101050202,643
134,65.998,06115040301,908
135,64.6115,06101050201,687
136,65.791,06115040304,374
137,49.049499999999995,06045011600,1410
138,68.7155,06057000102,1465
139,62.027,06115040303,358
140,60.327,06101050401,739
141,59.793,06101050503,2152
142,65.791,06115040304,1059
143,69.878,06061022002,5082
144,52.325,06033000502,4576
145,69.878,06061022002,3155
146,69.878,06061022002,3201
147,60.876,06101050403,310
148,65.7435,06115040600,569
149,64.992,06115040701,551
150,64.992,06115040701,390
151,69.35849999999999,06061021801,3918
152,68.51650000000001,06061021902,1967
153,55.423,06011000100,3837
154,52.727,06033000900,1359
155,71.155,06061021604,3646
156,60.123,06017031600,610
157,60.175,06017030401,718
158,69.161,06017030404,550
159,53.657,06033000801,3862
160,69.0155,06061020401,343
161,71.342,06061020401,154
162,67.5195,06061021403,516
163,67.5195,06061021403,385
164,68.433,06061023300,557
165,69.038,06061020402,1214
166,67.6355,06061023300,25
167,59.917,06017030502,2808
168,69.268,06061023500,396
169,69.268,06061023500,494
170,69.268,06061023500,663
171,68.873,06061021309,817
172,68.10050000000001,06061021203,1029
173,68.7335,06061020608,2416
174,67.2055,06061021324,271
175,67.5875,06061021122,884
176,67.2055,06061021324,472
177,66.98400000000001,06017030605,3594
178,68.37,06061022900,223
179,66.717,06061021044,695
180,66.717,06061021044,563
181,67.247,06061021128,311
182,65.91,06061021044,122
183,67.357,06061021034,572
184,66.607,06061022600,843
185,65.063,06061021326,1061
186,65.548,06061021325,882
187,66.607,06061022600,748
188,65.6955,06061021040,703
189,67.264,06061021003,785
190,65.6955,06061021040,910
191,67.904,06061022400,530
192,67.264,06061021003,89
